station;valid_date;valid_time_new;valid_date_time;tmpf;dwpf;relh;drct;sknt;p01i;alti;mslp;vsby;gust;skyc1;skyc2;skyc3;skyc4;skyl1;skyl2;skyl3;skyl4;wxcodes;ice_accretion_1hr;ice_accretion_3hr;ice_accretion_6hr;peak_wind_gust;peak_wind_drct;peak_wind_time;feel;metar;airport;snowdepth
LGA;05.01.2023;2:28;05.01.2023 02:28;46.00;43.00;89.20;50.00;9.00;0.00;29.82;;2.50;;BKN;OVC;;;300.00;1700.00;;;BR;;;;;;;40.92;KLGA 050228Z 05009KT 2 1/2SM BR BKN003 OVC017 08/06 A2982 RMK AO2 SFC VIS 4 T00780061;LGA;
LGA;05.01.2023;2:37;05.01.2023 02:37;45.00;42.00;89.49;50.00;10.00;0.00;29.82;;1.50;;OVC;;;;300.00;;;;BR;;;;;;;39.27;KLGA 050237Z 05010KT 1 1/2SM BR OVC003 07/06 A2982 RMK AO2 SFC VIS 3 T00720056;LGA;
JFK;05.01.2023;2:51;05.01.2023 02:51;51.00;51.00;100.00;60.00;4.00;0.00;29.83;1009.90;0.75;;OVC;;;;200.00;;;;BR;;;;;;;51.10;KJFK 050251Z 06004KT 3/4SM R04R/2400V4000FT BR OVC002 11/11 A2983 RMK AO2 SFC VIS 1 1/2 SLP099 T01060106 55006;JFK;
LGA;05.01.2023;2:51;05.01.2023 02:51;45.00;42.00;89.49;50.00;8.00;0.00;29.82;1009.90;0.50;;OVC;;;;300.00;;;;BR;;;;;;;40.13;KLGA 050251Z 05008KT 1/2SM R04/P6000FT BR OVC003 07/06 A2982 RMK AO2 SFC VIS 2 1/2 SLP099 60000 T00720056 55002;LGA;
JFK;05.01.2023;2:56;05.01.2023 02:56;51.00;51.00;100.00;50.00;4.00;0.00;29.82;;0.25;;OVC;;;;200.00;;;;BR;;;;;;;51.10;KJFK 050256Z 05004KT 1/4SM R04R/2400V3000FT BR OVC002 11/11 A2982 RMK AO2 SFC VIS 1 1/2 T01060106;JFK;
LGA;05.01.2023;3:15;05.01.2023 03:15;45.00;42.00;89.49;50.00;8.00;0.00;29.82;;0.50;;OVC;;;;200.00;;;;BR;;;;;;;40.13;KLGA 050315Z 05008KT 1/2SM R04/5000VP6000FT BR OVC002 07/06 A2982 RMK AO2 SFC VIS 1 T00720056;LGA;
LGA;05.01.2023;3:46;05.01.2023 03:46;44.60;42.80;93.35;40.00;11.00;0.00;29.81;;0.25;;VV ;;;;200.00;;;;FG;;;;;;;38.39;KLGA 050346Z 04011KT 1/4SM R04/2600V3500FT FG VV002 07/06 A2981 RMK AO2 SFC VIS 1/2;LGA;
LGA;05.01.2023;3:51;05.01.2023 03:51;45.00;42.00;89.49;40.00;10.00;0.00;29.81;1009.30;0.25;;VV ;;;;200.00;;;;FG;;;;;;;39.27;KLGA 050351Z 04010KT 1/4SM R04/2400V2800FT FG VV002 07/06 A2981 RMK AO2 SFC VIS 1/2 SLP093 T00720056;LGA;
JFK;05.01.2023;3:51;05.01.2023 03:51;52.00;52.00;100.00;50.00;3.00;0.00;29.80;1009.20;0.25;;OVC;;;;200.00;;;;BR;;;;;;;52.00;KJFK 050351Z 05003KT 1/4SM R04R/1600V1800FT BR OVC002 11/11 A2980 RMK AO2 SFC VIS 1 1/2 SLP092 T01110111;JFK;
JFK;05.01.2023;4:06;05.01.2023 04:06;52.00;52.00;100.00;110.00;3.00;0.00;29.81;;0.25;;OVC;;;;200.00;;;;BR;;;;;;;52.00;KJFK 050406Z 11003KT 1/4SM R04R/1400V3500FT BR OVC002 11/11 A2981 RMK AO2 SFC VIS 1 1/2 T01110111;JFK;
JFK;05.01.2023;4:43;05.01.2023 04:43;51.00;51.00;100.00;140.00;4.00;T;29.82;;0.25;;OVC;;;;200.00;;;;-DZ BR;;;;;;;51.10;KJFK 050443Z 14004KT 1/4SM R04R/1400V2000FT -DZ BR OVC002 11/11 A2982 RMK AO2 SFC VIS 3/4 DZB39 VIS NW-N 1 1/2 P0000 T01060106 $;JFK;
LGA;05.01.2023;4:51;05.01.2023 04:51;45.00;42.00;89.49;50.00;11.00;0.00;29.82;1009.60;0.25;;VV ;;;;200.00;;;;FG;;;;;;;38.89;KLGA 050451Z 05011KT 1/4SM R04/1800FT FG VV002 07/06 A2982 RMK AO2 SLP096 T00720056 401890067;LGA;
JFK;05.01.2023;4:51;05.01.2023 04:51;51.00;51.00;100.00;130.00;4.00;T;29.82;1009.80;0.25;;VV ;;;;200.00;;;;-DZ FG;;;;;;;51.10;KJFK 050451Z 13004KT 1/4SM R04R/1200V1400FT -DZ FG VV002 11/11 A2982 RMK AO2 SFC VIS 1/2 DZB39 SLP098 VIS NW-N 1 P0000 T01060106 401610072 $;JFK;
JFK;05.01.2023;5:39;05.01.2023 05:39;51.00;51.00;100.00;40.00;3.00;0.02;29.82;;0.25;;OVC;;;;300.00;;;;BR;;;;;;;51.10;KJFK 050539Z 04003KT 1/4SM R04R/2000V3500FT BR OVC003 11/11 A2982 RMK AO2 SFC VIS 2 DZE15RAB15E35 P0002 T01060106 $;JFK;
JFK;05.01.2023;5:51;05.01.2023 05:51;51.00;51.00;100.00;0.00;0.00;0.02;29.82;1009.90;0.25;;OVC;;;;300.00;;;;BR;;;;;;;51.10;KJFK 050551Z 00000KT 1/4SM R04R/2600VP6000FT BR OVC003 11/11 A2982 RMK AO2 SFC VIS 2 SLP099 DZE15RAB15E35 P0002 60002 T01060106 10117 20106 55000 $;JFK;
LGA;05.01.2023;5:51;05.01.2023 05:51;44.00;42.00;92.62;30.00;8.00;0.01;29.82;1009.80;0.25;;OVC;;;;300.00;;;;-DZ BR;;;;;;;39.02;KLGA 050551Z 03008KT 1/4SM R04/P6000FT -DZ BR OVC003 07/06 A2982 RMK AO2 SFC VIS 1 DZB04 SLP098 P0001 60001 T00670056 10128 20067 55000;LGA;
LGA;05.01.2023;6:19;05.01.2023 06:19;44.00;43.00;95.88;40.00;7.00;T;29.83;;0.50;;OVC;;;;300.00;;;;-DZ BR;;;;;;;39.53;KLGA 050619Z 04007KT 1/2SM R04/P6000FT -DZ BR OVC003 07/06 A2983 RMK AO2 SFC VIS 2 P0000 T00670061;LGA;
LGA;05.01.2023;6:45;05.01.2023 06:45;44.60;42.80;93.35;30.00;6.00;0.01;29.84;;0.75;;OVC;;;;300.00;;;;-DZ BR;;;;;;;40.71;KLGA 050645Z 03006KT 3/4SM R04/P6000FT -DZ BR OVC003 07/06 A2984 RMK AO2 SFC VIS 3 P0001;LGA;
JFK;05.01.2023;6:51;05.01.2023 06:51;50.00;50.00;100.00;340.00;4.00;0.01;29.84;1010.40;0.25;;OVC;;;;300.00;;;;-DZ BR;;;;;;;50.00;KJFK 050651Z 34004KT 1/4SM R04R/P6000FT -DZ BR OVC003 10/10 A2984 RMK AO2 SFC VIS 2 1/2 RAB10E42DZB44 SLP104 P0001 T01000100 $;JFK;
LGA;05.01.2023;6:51;05.01.2023 06:51;45.00;43.00;92.65;40.00;6.00;0.01;29.84;1010.30;0.75;;OVC;;;;300.00;;;;-DZ BR;;;;;;;41.19;KLGA 050651Z 04006KT 3/4SM R04/P6000FT -DZ BR OVC003 07/06 A2984 RMK AO2 SFC VIS 3 SLP103 P0001 T00720061;LGA;
LGA;05.01.2023;7:14;05.01.2023 07:14;45.00;43.00;92.65;40.00;5.00;T;29.85;;0.75;;OVC;;;;400.00;;;;-DZ BR;;;;;;;41.83;KLGA 050714Z 04005KT 3/4SM R04/P6000FT -DZ BR OVC004 07/06 A2985 RMK AO2 SFC VIS 5 P0000 T00720061;LGA;
LGA;05.01.2023;7:45;05.01.2023 07:45;44.60;42.80;93.35;40.00;4.00;T;29.86;;2.00;;OVC;;;;400.00;;;;BR;;;;;;;42.13;KLGA 050745Z 04004KT 2SM BR OVC004 07/06 A2986 RMK AO2 SFC VIS 5 DZE45 P0000;LGA;
JFK;05.01.2023;7:51;05.01.2023 07:51;48.00;48.00;100.00;350.00;5.00;T;29.87;1011.40;0.25;;OVC;;;;300.00;;;;-DZ BR;;;;;;;45.40;KJFK 050751Z 35005KT 1/4SM R04R/P6000FT -DZ BR OVC003 09/09 A2987 RMK AO2 SFC VIS 2 1/2 DZE00B33RAB04E22 SLP114 P0000 T00890089 $;JFK;
LGA;05.01.2023;7:51;05.01.2023 07:51;45.00;43.00;92.65;40.00;4.00;T;29.86;1011.20;2.00;;OVC;;;;400.00;;;;BR;;;;;;;42.60;KLGA 050751Z 04004KT 2SM BR OVC004 07/06 A2986 RMK AO2 SFC VIS 5 DZE45 SLP112 P0000 T00720061;LGA;
LGA;05.01.2023;8:44;05.01.2023 08:44;46.00;43.00;89.20;60.00;9.00;0.00;29.88;;2.50;;OVC;;;;400.00;;;;;;;;;;;40.92;KLGA 050844Z 06009KT 2 1/2SM OVC004 08/06 A2988 RMK AO2 SFC VIS 7 T00780061;LGA;
JFK;05.01.2023;8:51;05.01.2023 08:51;47.00;47.00;100.00;360.00;9.00;T;29.89;1012.10;0.25;;OVC;;;;400.00;;;;;;;;;;;42.04;KJFK 050851Z 36009KT 1/4SM R04R/P6000FT OVC004 08/08 A2989 RMK AO2 SFC VIS 7 DZE22 SLP121 P0000 60001 T00830083 53022 $;JFK;
LGA;05.01.2023;8:51;05.01.2023 08:51;46.00;43.00;89.20;80.00;7.00;0.00;29.88;1011.90;2.50;;OVC;;;;400.00;;;;;;;;;;;41.84;KLGA 050851Z 08007KT 2 1/2SM OVC004 08/06 A2988 RMK AO2 SFC VIS 7 SLP119 60001 T00780061 53020;LGA;
JFK;05.01.2023;9:32;05.01.2023 09:32;48.00;48.00;100.00;50.00;4.00;0.00;29.89;;7.00;;OVC;;;;400.00;;;;;;;;;;;46.10;KJFK 050932Z 05004KT 7SM OVC004 09/09 A2989 RMK AO2 T00890089 $;JFK;
LGA;05.01.2023;9:47;05.01.2023 09:47;44.60;44.60;100.00;0.00;0.00;0.00;29.88;;7.00;;OVC;;;;600.00;;;;;;;;;;;44.60;KLGA 050947Z 00000KT 7SM OVC006 07/07 A2988 RMK AO2;LGA;
LGA;05.01.2023;9:51;05.01.2023 09:51;45.00;44.00;96.63;0.00;0.00;0.00;29.89;1012.00;7.00;;OVC;;;;600.00;;;;;;;;;;;45.00;KLGA 050951Z 00000KT 7SM OVC006 07/07 A2989 RMK AO2 SLP120 T00720067;LGA;
JFK;05.01.2023;9:51;05.01.2023 09:51;48.00;48.00;100.00;40.00;3.00;0.00;29.89;1012.20;8.00;;OVC;;;;400.00;;;;;;;;;;;46.98;KJFK 050951Z 04003KT 8SM OVC004 09/09 A2989 RMK AO2 SLP122 T00890089 $;JFK;
LGA;05.01.2023;10:18;05.01.2023 10:18;46.00;46.00;100.00;0.00;0.00;0.00;29.90;;9.00;;OVC;;;;500.00;;;;;;;;;;;46.00;KLGA 051018Z 00000KT 9SM OVC005 08/08 A2990 RMK AO2 T00780078;LGA;
LGA;05.01.2023;10:34;05.01.2023 10:34;47.00;45.00;93.06;10.00;3.00;0.00;29.91;;0.50;;OVC;;;;400.00;;;;BR;;;;;;;45.72;KLGA 051034Z COR 01003KT 1/2SM BR OVC004 08/07 A2991 RMK AO2 TWR VIS 2 T00830072;LGA;
LGA;05.01.2023;10:43;05.01.2023 10:43;47.00;45.00;93.06;10.00;3.00;0.00;29.90;;0.50;;OVC;;;;300.00;;;;BR;;;;;;;45.72;KLGA 051043Z 01003KT 1/2SM R04/P6000FT BR OVC003 08/07 A2990 RMK AO2 SFC VIS 2 T00830072;LGA;
JFK;05.01.2023;10:51;05.01.2023 10:51;48.00;48.00;100.00;360.00;5.00;0.00;29.92;1013.00;2.00;;OVC;;;;300.00;;;;BR;;;;;;;45.40;KJFK 051051Z 36005KT 2SM BR OVC003 09/09 A2992 RMK AO2 SFC VIS 4 SLP130 T00890089 $;JFK;
LGA;05.01.2023;10:51;05.01.2023 10:51;47.00;45.00;93.06;360.00;4.00;0.00;29.91;1012.70;0.50;;OVC;;;;300.00;;;;BR;;;;;;;44.82;KLGA 051051Z 36004KT 1/2SM R04/P6000FT BR OVC003 08/07 A2991 RMK AO2 SFC VIS 1 SLP127 T00830072;LGA;
JFK;05.01.2023;11:13;05.01.2023 11:13;48.00;48.00;100.00;20.00;6.00;0.00;29.92;;0.25;;FEW;OVC;;;0.00;300.00;;;BR;;;;;;;44.80;KJFK 051113Z 02006KT 1/4SM R04R/4500VP6000FT BR FEW000 OVC003 09/09 A2992 RMK AO2 SFC VIS 1 1/2 BR FEW000 T00890089 $;JFK;
LGA;05.01.2023;11:51;05.01.2023 11:51;46.00;44.00;93.03;50.00;6.00;0.00;29.93;1013.40;0.50;;OVC;;;;300.00;;;;BR;;;;;;;42.39;KLGA 051151Z 05006KT 1/2SM R04/P6000FT BR OVC003 08/07 A2993 RMK AO2 SFC VIS 1 SLP134 60001 70003 T00780067 10089 20067 53015;LGA;
JFK;05.01.2023;11:51;05.01.2023 11:51;48.00;48.00;100.00;50.00;7.00;0.00;29.93;1013.60;0.25;;SCT;OVC;;;0.00;200.00;;;BR;;;;;;;44.28;KJFK 051151Z 05007KT 1/4SM R04R/2400V2800FT BR SCT000 OVC002 09/09 A2993 RMK AO2 SFC VIS 1 SLP136 BR SCT000 60001 70004 T00890089 10106 20083 53014 $;JFK;
LGA;05.01.2023;12:03;05.01.2023 12:03;46.00;44.00;93.03;60.00;6.00;0.00;29.93;;0.25;;OVC;;;;300.00;;;;FG;;;;;;;42.39;KLGA 051203Z 06006KT 1/4SM R04/4000VP6000FT FG OVC003 08/07 A2993 RMK AO2 SFC VIS 1/2 T00780067;LGA;
JFK;05.01.2023;12:22;05.01.2023 12:22;48.00;48.00;100.00;60.00;6.00;0.00;29.95;;0.25;;VV ;;;;200.00;;;;FG;;;;;;;44.80;KJFK 051222Z 06006KT 1/4SM R04R/1800V2000FT FG VV002 09/09 A2995 RMK AO2 SFC VIS 1/2 T00890089 $;JFK;
LGA;05.01.2023;12:51;05.01.2023 12:51;46.00;43.00;89.20;60.00;6.00;0.00;29.94;1013.80;0.25;;OVC;;;;300.00;;;;FG;;;;;;;42.39;KLGA 051251Z 06006KT 1/4SM R04/3500V4000FT FG OVC003 08/06 A2994 RMK AO2 SLP138 T00780061;LGA;
JFK;05.01.2023;12:51;05.01.2023 12:51;48.00;48.00;100.00;60.00;5.00;0.00;29.95;1014.10;0.25;;VV ;;;;200.00;;;;FG;;;;;;;45.40;KJFK 051251Z 06005KT 1/4SM R04R/2000V2400FT FG VV002 09/09 A2995 RMK AO2 SFC VIS 1/2 SLP141 T00890089 $;JFK;
LGA;05.01.2023;13:51;05.01.2023 13:51;46.00;44.00;93.03;40.00;6.00;0.00;29.96;1014.50;0.25;;VV ;;;;300.00;;;;FG;;;;;;;42.39;KLGA 051351Z 04006KT 1/4SM R04/3000V4000FT FG VV003 08/07 A2996 RMK AO2 SLP145 T00780067;LGA;
JFK;05.01.2023;13:51;05.01.2023 13:51;48.00;48.00;100.00;50.00;6.00;0.00;29.97;1014.70;0.25;;FEW;OVC;;;0.00;200.00;;;BR;;;;;;;44.80;KJFK 051351Z 05006KT 1/4SM R04R/2800VP6000FT BR FEW000 OVC002 09/09 A2997 RMK AO2 SFC VIS 1 1/2 SLP147 BR FEW000 T00890089;JFK;
LGA;05.01.2023;13:57;05.01.2023 13:57;47.00;44.00;89.92;40.00;7.00;0.00;29.96;;0.25;;OVC;;;;200.00;;;;FG;;;;;;;42.94;KLGA 051357Z 04007KT 1/4SM R04/3000V4500FT FG OVC002 08/07 A2996 RMK AO2 T00830067;LGA;
LGA;05.01.2023;14:22;05.01.2023 14:22;46.00;44.00;93.03;50.00;6.00;0.00;29.99;;1.50;;OVC;;;;400.00;;;;BR;;;;;;;42.39;KLGA 051422Z 05006KT 1 1/2SM BR OVC004 08/07 A2999 RMK AO2 SFC VIS 3 T00780067;LGA;
JFK;05.01.2023;14:41;05.01.2023 14:41;48.00;48.00;100.00;40.00;7.00;0.00;29.99;;3.00;;OVC;;;;500.00;;;;BR;;;;;;;44.28;KJFK 051441Z 04007KT 3SM BR OVC005 09/09 A2999 RMK AO2 SFC VIS 5 T00890089;JFK;
LGA;05.01.2023;14:51;05.01.2023 14:51;46.00;43.00;89.20;50.00;11.00;0.00;29.99;1015.40;5.00;;BKN;OVC;;;400.00;1100.00;;;BR;;;;;;;40.16;KLGA 051451Z 05011KT 5SM BR BKN004 OVC011 08/06 A2999 RMK AO2 SLP154 T00780061 53020;LGA;
JFK;05.01.2023;14:51;05.01.2023 14:51;48.00;48.00;100.00;40.00;7.00;0.00;30.00;1015.80;3.00;;OVC;;;;500.00;;;;BR;;;;;;;44.28;KJFK 051451Z 04007KT 3SM BR OVC005 09/09 A3000 RMK AO2 SFC VIS 6 SLP158 T00890089 53023;JFK;
LGA;05.01.2023;15:06;05.01.2023 15:06;46.00;44.00;93.03;50.00;9.00;0.00;29.99;;6.00;;FEW;OVC;;;400.00;900.00;;;BR;;;;;;;40.92;KLGA 051506Z 05009KT 6SM BR FEW004 OVC009 08/07 A2999 RMK AO2 T00780067;LGA;
LGA;05.01.2023;15:51;05.01.2023 15:51;46.00;44.00;93.03;60.00;6.00;0.00;30.00;1015.90;6.00;;BKN;OVC;;;600.00;1100.00;;;BR;;;;;;;42.39;KLGA 051551Z 06006KT 6SM BR BKN006 OVC011 08/07 A3000 RMK AO2 SLP159 T00780067;LGA;
JFK;05.01.2023;15:51;05.01.2023 15:51;48.00;47.00;95.95;50.00;5.00;0.00;30.01;1016.00;8.00;;OVC;;;;700.00;;;;;;;;;;;45.40;KJFK 051551Z 05005KT 8SM OVC007 09/08 A3001 RMK AO2 SLP160 T00890083;JFK;
JFK;05.01.2023;16:51;05.01.2023 16:51;49.00;47.00;92.77;50.00;7.00;0.00;29.99;1015.40;8.00;;OVC;;;;800.00;;;;;;;;;;;45.38;KJFK 051651Z 05007KT 8SM OVC008 09/08 A2999 RMK AO2 SLP154 T00940083;JFK;
LGA;05.01.2023;16:51;05.01.2023 16:51;46.00;44.00;93.03;60.00;8.00;0.00;29.98;1015.30;5.00;;BKN;OVC;;;600.00;1100.00;;;BR;;;;;;;41.36;KLGA 051651Z 06008KT 5SM BR BKN006 OVC011 08/07 A2998 RMK AO2 SLP153 T00780067;LGA;
LGA;05.01.2023;17:38;05.01.2023 17:38;46.00;44.00;93.03;40.00;8.00;0.00;29.97;;6.00;;OVC;;;;700.00;;;;BR;;;;;;;41.36;KLGA 051738Z 04008KT 6SM BR OVC007 08/07 A2997 RMK AO2 T00780067;LGA;
JFK;05.01.2023;17:51;05.01.2023 17:51;50.00;47.00;89.04;20.00;4.00;0.00;29.97;1014.90;9.00;;OVC;;;;800.00;;;;;;;;;;;50.00;KJFK 051751Z 02004KT 9SM OVC008 10/08 A2997 RMK AO2 SLP149 T01000083 10100 20083 58009;JFK;
LGA;05.01.2023;17:51;05.01.2023 17:51;46.00;44.00;93.03;40.00;6.00;0.00;29.97;1014.80;6.00;;OVC;;;;700.00;;;;BR;;;;;;;42.39;KLGA 051751Z 04006KT 6SM BR OVC007 08/07 A2997 RMK AO2 SLP148 T00780067 10083 20072 58006;LGA;
JFK;05.01.2023;18:31;05.01.2023 18:31;50.00;47.00;89.04;50.00;4.00;0.00;29.97;;10.00;;BKN;OVC;;;1000.00;1700.00;;;;;;;;;;50.00;KJFK 051831Z 05004KT 10SM BKN010 OVC017 10/08 A2997 RMK AO2 T01000083;JFK;
JFK;05.01.2023;18:51;05.01.2023 18:51;50.00;47.00;89.04;60.00;6.00;0.00;29.95;1014.30;10.00;;BKN;OVC;;;1000.00;2200.00;;;;;;;;;;50.00;KJFK 051851Z 06006KT 10SM BKN010 OVC022 10/08 A2995 RMK AO2 SLP143 T01000083;JFK;
LGA;05.01.2023;18:51;05.01.2023 18:51;46.00;43.00;89.20;50.00;7.00;0.00;29.95;1014.20;6.00;;OVC;;;;600.00;;;;BR;;;;;;;41.84;KLGA 051851Z 05007KT 6SM BR OVC006 08/06 A2995 RMK AO2 SLP142 T00780061;LGA;
JFK;05.01.2023;19:51;05.01.2023 19:51;50.00;47.00;89.04;60.00;5.00;0.00;29.94;1013.90;10.00;;OVC;;;;1100.00;;;;;;;;;;;50.00;KJFK 051951Z 06005KT 10SM OVC011 10/08 A2994 RMK AO2 SLP139 T01000083;JFK;
LGA;05.01.2023;19:51;05.01.2023 19:51;47.00;43.00;86.21;40.00;9.00;0.00;29.94;1013.80;10.00;;OVC;;;;600.00;;;;;;;;;;;42.04;KLGA 051951Z 04009KT 10SM OVC006 08/06 A2994 RMK AO2 SLP138 T00830061;LGA;
LGA;05.01.2023;20:03;05.01.2023 20:03;46.00;42.00;86.16;40.00;9.00;0.00;29.94;;10.00;;OVC;;;;700.00;;;;;;;;;;;40.92;KLGA 052003Z 04009KT 10SM OVC007 08/06 A2994 RMK AO2 T00780056;LGA;
JFK;05.01.2023;20:51;05.01.2023 20:51;49.00;47.00;92.77;40.00;7.00;0.00;29.94;1013.70;10.00;;OVC;;;;1100.00;;;;;;;;;;;45.38;KJFK 052051Z 04007KT 10SM OVC011 09/08 A2994 RMK AO2 SLP137 T00940083 56012;JFK;
LGA;05.01.2023;20:51;05.01.2023 20:51;46.00;42.00;86.16;30.00;8.00;0.00;29.94;1013.70;10.00;;OVC;;;;700.00;;;;;;;;;;;41.36;KLGA 052051Z 03008KT 10SM OVC007 08/06 A2994 RMK AO2 SLP137 T00780056 56011;LGA;
LGA;05.01.2023;21:38;05.01.2023 21:38;45.00;42.00;89.49;50.00;6.00;0.00;29.94;;10.00;;OVC;;;;600.00;;;;;;;;;;;41.19;KLGA 052138Z 05006KT 10SM OVC006 07/06 A2994 RMK AO2 T00720056;LGA;
LGA;05.01.2023;21:51;05.01.2023 21:51;46.00;43.00;89.20;40.00;4.00;0.00;29.95;1014.10;10.00;;OVC;;;;600.00;;;;;;;;;;;43.77;KLGA 052151Z 04004KT 10SM OVC006 08/06 A2995 RMK AO2 SLP141 T00780061;LGA;
JFK;05.01.2023;21:51;05.01.2023 21:51;48.00;46.00;92.74;80.00;4.00;0.00;29.95;1014.20;10.00;;OVC;;;;1000.00;;;;;;;;;;;46.10;KJFK 052151Z 08004KT 10SM OVC010 09/08 A2995 RMK AO2 SLP142 T00890078;JFK;
JFK;05.01.2023;22:45;05.01.2023 22:45;46.40;46.40;100.00;110.00;7.00;0.00;29.95;;10.00;;FEW;OVC;;;600.00;1200.00;;;;;;;;;;42.33;KJFK 052245Z 11007KT 10SM FEW006 OVC012 08/08 A2995 RMK AO2;JFK;
JFK;05.01.2023;22:51;05.01.2023 22:51;47.00;47.00;100.00;100.00;6.00;0.00;29.96;1014.40;10.00;;FEW;OVC;;;600.00;1200.00;;;;;;;;;;43.48;KJFK 052251Z 10006KT 10SM FEW006 OVC012 08/08 A2996 RMK AO2 SLP144 T00830083;JFK;
LGA;05.01.2023;22:51;05.01.2023 22:51;46.00;43.00;89.20;30.00;5.00;0.00;29.95;1014.20;10.00;;BKN;OVC;;;600.00;1300.00;;;;;;;;;;43.02;KLGA 052251Z 03005KT 10SM BKN006 OVC013 08/06 A2995 RMK AO2 SLP142 T00780061;LGA;
LGA;05.01.2023;23:05;05.01.2023 23:05;46.00;43.00;89.20;70.00;7.00;0.00;29.94;;8.00;;BKN;OVC;;;800.00;1300.00;;;;;;;;;;41.84;KLGA 052305Z 07007KT 8SM BKN008 OVC013 08/06 A2994 RMK AO2 T00780061;LGA;
LGA;05.01.2023;23:15;05.01.2023 23:15;46.00;43.00;89.20;50.00;6.00;T;29.95;;8.00;;BKN;OVC;;;600.00;1300.00;;;-RA;;;;;;;42.39;KLGA 052315Z 05006KT 8SM -RA BKN006 OVC013 08/06 A2995 RMK AO2 RAB07 P0000 T00780061;LGA;
LGA;05.01.2023;23:26;05.01.2023 23:26;46.00;43.00;89.20;40.00;6.00;T;29.95;;9.00;;OVC;;;;800.00;;;;;;;;;;;42.39;KLGA 052326Z 04006KT 9SM OVC008 08/06 A2995 RMK AO2 RAB07E17 P0000 T00780061;LGA;
JFK;05.01.2023;23:27;05.01.2023 23:27;47.00;47.00;100.00;120.00;7.00;0.00;29.96;;3.00;;BKN;OVC;;;600.00;1200.00;;;BR;;;;;;;42.94;KJFK 052327Z 12007KT 3SM BR BKN006 OVC012 08/08 A2996 RMK AO2 SFC VIS 6 T00830083;JFK;
JFK;05.01.2023;23:33;05.01.2023 23:33;46.00;46.00;100.00;120.00;7.00;0.00;29.97;;0.50;;BKN;OVC;;;400.00;1200.00;;;BR;;;;;;;41.84;KJFK 052333Z 12007KT 1/2SM R04R/P6000FT BR BKN004 OVC012 08/08 A2997 RMK AO2 SFC VIS 5 CIG 003V008 T00780078;JFK;
LGA;05.01.2023;23:51;05.01.2023 23:51;46.00;43.00;89.20;40.00;5.00;0.01;29.97;1014.70;10.00;;BKN;OVC;;;800.00;1200.00;;;-RA;;;;;;;43.02;KLGA 052351Z 04005KT 10SM -RA BKN008 OVC012 08/06 A2997 RMK AO2 RAB07E17B31 SLP147 P0001 60001 T00780061 10083 20072 53010;LGA;
JFK;05.01.2023;23:51;05.01.2023 23:51;46.00;46.00;100.00;120.00;5.00;0.00;29.97;1014.90;0.50;;BKN;OVC;;;400.00;800.00;;;BR;;;;;;;43.02;KJFK 052351Z 12005KT 1/2SM R04R/P6000FT BR BKN004 OVC008 08/08 A2997 RMK AO2 SFC VIS 5 SLP149 T00780078 10100 20078 53007;JFK;
JFK;06.01.2023;0:51;06.01.2023 00:51;46.00;46.00;100.00;100.00;5.00;T;29.97;1014.80;0.50;;OVC;;;;400.00;;;;-RA BR;;;;;;;43.02;KJFK 060051Z 10005KT 1/2SM R04R/P6000FT -RA BR OVC004 08/08 A2997 RMK AO2 SFC VIS 5 RAB46 CIG 003V007 SLP148 P0000 T00780078;JFK;
LGA;06.01.2023;0:51;06.01.2023 00:51;45.00;42.00;89.49;70.00;8.00;T;29.95;1014.30;9.00;;OVC;;;;900.00;;;;;;;;;;;40.13;KLGA 060051Z 07008KT 9SM OVC009 07/06 A2995 RMK AO2 RAE18 SLP143 P0000 T00720056;LGA;
JFK;06.01.2023;1:11;06.01.2023 01:11;46.00;46.00;100.00;100.00;8.00;T;29.97;;8.00;;OVC;;;;600.00;;;;;;;;;;;41.36;KJFK 060111Z 10008KT 8SM OVC006 08/08 A2997 RMK AO2 RAE01 CIG 004V008 P0000 T00780078;JFK;
LGA;06.01.2023;1:51;06.01.2023 01:51;45.00;42.00;89.49;50.00;6.00;0.00;29.96;1014.60;9.00;;OVC;;;;800.00;;;;;;;;;;;41.19;KLGA 060151Z 05006KT 9SM OVC008 07/06 A2996 RMK AO2 SLP146 T00720056;LGA;
JFK;06.01.2023;1:51;06.01.2023 01:51;46.00;46.00;100.00;110.00;5.00;T;29.97;1014.80;9.00;;OVC;;;;800.00;;;;;;;;;;;43.02;KJFK 060151Z 11005KT 9SM OVC008 08/08 A2997 RMK AO2 RAE01 SLP148 P0000 T00780078;JFK;
LGA;06.01.2023;2:27;06.01.2023 02:27;45.00;42.00;89.49;40.00;8.00;0.00;29.97;;5.00;;OVC;;;;700.00;;;;BR;;;;;;;40.13;KLGA 060227Z 04008KT 5SM BR OVC007 07/06 A2997 RMK AO2 T00720056;LGA;
LGA;06.01.2023;2:47;06.01.2023 02:47;44.60;42.80;93.35;40.00;9.00;T;29.97;;2.50;;OVC;;;;600.00;;;;-DZ BR;;;;;;;39.18;KLGA 060247Z 04009KT 2 1/2SM -DZ BR OVC006 07/06 A2997 RMK AO2 SFC VIS 3 DZB47 P0000;LGA;
